date,close,open,high,low,rate
2016-09,2.769,2.825,2.834,2.715,-1.28%
2016-08,2.805,2.85,2.85,2.62,0.00%
2016-07,2.805,2.871,2.888,2.798,-2.43%
2016-06,2.875,2.997,3.04,2.825,-4.01%
2016-05,2.995,3,3.017,2.909,1.66%
2016-04,2.946,2.91,3.03,2.873,2.08%
2016-03,2.886,2.905,2.963,2.872,-0.79%
2016-02,2.909,2.92,2.95,2.83,0.00%
2016-01,2.909,2.85,2.94,2.754,1.64%
2015-12,2.862,3.088,3.1,2.828,-7.32%
2015-11,3.088,3.1,3.257,3.084,0.03%
2015-10,3.087,3.3,3.3,3,-5.77%
2015-09,3.276,3.407,3.407,3.272,-3.48%
2015-08,3.394,3.53,3.573,3.378,-2.30%
2015-07,3.474,3.638,3.653,3.443,-4.27%
2015-06,3.629,3.65,3.676,3.58,1.06%
2015-05,3.591,3.43,3.608,3.385,4.94%
2015-04,3.422,3.62,3.75,3.413,-5.55%
2015-03,3.623,3.4,3.65,3.34,7.22%
2015-02,3.379,3.53,3.54,3.335,-3.84%
2015-01,3.514,3.7,3.7,3.448,-3.67%
2014-12,3.648,3.55,3.85,3.533,2.88%
2014-11,3.546,3.8,3.8,3.483,-6.34%
2014-10,3.786,4.03,4.1,3.76,-6.01%
2014-09,4.028,4.3,4.38,4.024,-5.18%
2014-08,4.248,4.31,4.32,4.213,-1.16%
2014-07,4.298,4.07,4.35,4.04,5.86%
2014-06,4.06,4.05,4.13,3.99,-2.40%
2014-05,4.16,4.37,4.54,4.09,-3.93%
2014-04,4.33,4.54,4.6,4.28,-3.35%
2014-03,4.48,4.43,4.56,4.35,1.36%
2014-02,4.42,4.54,4.62,4.34,-2.86%
2014-01,4.55,4.63,4.71,4.45,-1.73%
2013-12,4.63,4.4,4.68,4.37,5.31%
2013-11,4.397,4.2,4.77,4.05,4.19%
2013-10,4.22,4.2,4.26,3.97,4.20%
2013-09,4.05,4.06,4.2,3.96,0.00%
2013-08,4.05,3.72,4.13,3.6,12.50%
2013-07,3.6,3.54,3.85,3.49,0.00%
2013-06,3.6,3.46,3.65,3.36,4.50%
2013-05,3.445,3.6,3.6,3.237,-1.57%
2013-04,3.5,3.55,3.64,3.251,1.63%
2013-03,3.444,3.65,3.67,3.284,-4.33%
2013-02,3.6,3.63,3.67,3.49,0.00%
2013-01,3.6,3.58,3.65,3.49,0.70%
2012-12,3.575,3.55,3.64,3.39,0.09%
2012-11,3.572,3.586,3.71,3.39,0.05%
2012-10,3.57,3.48,3.71,3.34,2.88%
2012-09,3.47,3.41,3.65,3.21,0.58%
2012-08,3.45,3.29,3.46,3.26,3.60%
2012-07,3.33,3.33,3.45,3.219,-1.19%
2012-06,3.37,3.38,3.5,3.29,-3.71%
2012-05,3.5,3.54,3.6,3.3,-1.41%
2012-04,3.55,3.56,3.6,3.5,0.00%
2012-03,3.55,3.53,3.603,3.4,0.00%
2012-02,3.55,3.41,3.7,3.38,4.41%
2012-01,3.4,3.42,3.55,3.375,-4.23%
2011-12,3.55,3.55,3.76,3.41,-1.93%
2011-11,3.62,3.76,3.87,3.55,-4.99%
2011-10,3.81,3.86,4.15,3.71,-1.55%
2011-09,3.87,4.1,4.2,3.86,-3.25%
2011-08,4,4.07,4.2,3.87,-2.91%
2011-07,4.12,3.9,4.2,3.764,6.19%
2011-06,3.88,3.88,4.114,3.8,1.04%
2011-05,3.84,3.91,4.044,3.81,-1.03%
2011-04,3.88,3.95,4.068,3.77,-1.77%
2011-03,3.95,4.05,4.1,3.77,-2.47%
2011-02,4.05,4.03,4.2,3.85,4.11%
2011-01,3.89,3.85,4.1,3.769,-0.26%
2010-12,3.9,3.97,4.1,3.765,0.00%
2010-11,3.9,3.7,4.1,3.38,6.27%
2010-10,3.67,3.34,3.73,3.22,12.82%
2010-09,3.253,3.23,3.4,3.17,0.99%
2010-08,3.221,3.3,3.4,3.18,-2.69%
2010-07,3.31,3.3,3.44,3.15,-0.60%
2010-06,3.33,3.23,3.51,3.18,0.60%
2010-05,3.31,3.34,3.525,3.14,-0.90%
2010-04,3.34,3.388,3.65,3.3,-6.70%
2010-03,3.58,3.5,3.65,3.3,0.85%
2010-02,3.55,3.6,3.72,3.4,-1.39%
2010-01,3.6,3.64,3.77,3.51,0.00%
2009-12,3.6,3.58,3.75,3.51,1.12%
2009-11,3.56,3.75,3.82,3.54,-3.78%
2009-10,3.7,3.53,3.8,3.43,4.52%
2009-09,3.54,3.48,3.64,3.38,-0.28%
2009-08,3.55,3.475,3.64,2.94,0.00%
2009-07,3.55,3.17,3.65,3,8.23%
2009-06,3.28,3.06,3.35,3,7.19%
2009-05,3.06,3.12,3.78,3,-3.77%
2009-04,3.18,3.18,3.351,3.07,0.63%
2009-03,3.16,3.301,3.451,3.015,1.94%
2009-02,3.1,3.12,3.5,2.996,0.03%
2009-01,3.099,2.76,3.3,2.635,12.73%
2008-12,2.749,3.1,3.1,2.66,-5.98%
2008-11,2.924,3.07,3.4,2.75,-1.71%
2008-10,2.975,3.703,3.979,2.95,-19.68%
2008-09,3.704,4.18,4.595,3.679,-13.26%
2008-08,4.27,4.6,4.894,4.18,-6.91%
2008-07,4.587,4.52,4.938,4.191,3.06%
2008-06,4.451,4.076,4.75,4.076,6.59%
2008-05,4.176,4.1,4.28,4.05,2.35%
2008-04,4.08,4.1,4.315,3.867,-1.69%
2008-03,4.15,4.3,4.319,3.98,0.48%
2008-02,4.13,4.25,4.45,4.071,-3.95%
2008-01,4.3,4.521,4.6,4.2,-5.49%
2007-12,4.55,4.58,4.7,4.382,-1.37%
2007-11,4.613,4.522,4.7,4.439,2.03%
2007-10,4.521,4.418,4.655,4.196,1.39%
2007-09,4.459,4.26,4.799,4.189,1.36%
2007-08,4.399,4.336,4.701,4.099,0.87%
2007-07,4.361,4.361,4.361,4.361,1.77%
2007-06,4.285,4.285,4.285,4.285,-0.33%
2007-05,4.299,4.299,4.299,4.299,18.07%
2007-04,3.641,3.641,3.641,3.641,7.15%
2007-03,3.398,3.398,3.398,3.398,8.49%
2007-02,3.132,3.132,3.132,3.132,1.69%
2007-01,3.08,3.08,3.08,3.08,-0.06%
2006-12,3.082,3.082,3.082,3.082,2.09%
2006-11,3.019,3.019,3.019,3.019,1.79%
2006-10,2.966,2.966,2.966,2.966,-10.18%
2006-09,3.302,3.302,3.302,3.302,-0.63%
2006-08,3.323,3.323,3.323,3.323,-1.98%
2006-07,3.39,3.39,3.39,3.39,8.24%
2006-06,3.132,3.132,3.132,3.132,2.79%
2006-05,3.047,3.047,3.047,3.047,0.00%
2006-04,3.047,3.047,3.047,3.047,3.36%
